epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.904,1.31831,2.81819,1.36065,0.26135,0.10922,0.28427,0.19647,1.13823,2.21609,1.33674,8.2878e-05,8.2878e-05,8.2878e-05
2,1333.47,1.0948,1.68795,1.21358,0.17171,0.05575,0.28294,0.19826,1.06295,1.80792,1.27738,0.000164566,0.000164566,0.000164566
3,2147.91,1.06664,1.50423,1.19152,0.16295,0.04138,0.23387,0.16754,1.09652,1.68059,1.29731,0.000244604,0.000244604,0.000244604
4,2971.86,1.04742,1.39675,1.18712,0.18015,0.04293,0.22944,0.15948,1.06922,1.56094,1.26167,0.000242575,0.000242575,0.000242575
5,3854.63,1.0069,1.25644,1.15793,0.18151,0.04245,0.2317,0.16856,1.05563,1.54323,1.27606,0.0002401,0.0002401,0.0002401
6,4742.62,0.98416,1.22296,1.15529,0.19203,0.04067,0.18191,0.12866,1.04935,1.59675,1.26631,0.000237625,0.000237625,0.000237625
7,5623.7,0.97471,1.13426,1.14181,0.20055,0.04965,0.27411,0.20076,1.01092,1.43734,1.24493,0.00023515,0.00023515,0.00023515
8,6543.61,0.97492,1.08936,1.1477,0.21463,0.049,0.24055,0.1786,1.01198,1.43555,1.24458,0.000232675,0.000232675,0.000232675
9,7451.02,0.94876,1.01503,1.13713,0.22775,0.05883,0.26635,0.19668,1.0185,1.45832,1.25018,0.0002302,0.0002302,0.0002302
10,8361.07,0.94102,0.97591,1.12301,0.22838,0.05321,0.26129,0.19151,0.99626,1.34867,1.23428,0.000227725,0.000227725,0.000227725
